1212 1 0.01680672268907563 东南南西北北 有将 0.01680672268907563
1213 0 0.006191950464396284 东南南西北北北 无将 0.006191950464396284
1213 1 0.018575851393188854 东南南西北北北 有将 0.018575851393188854
1214 0 0.0 东南南西北北北北 无将 0.0
1214 1 0.0 东南南西北北北北 有将 0.0
2240 0 0.0 东东南南西西西西 无将 0.0
2240 1 0.0 东东南南西西西西 有将 0.0
2241 0 0.0 东东南南西西西西北 无将 0.0
2241 1 0.0 东东南南西西西西北 有将 0.0
2242 0 0.0 东东南南西西西西北北 无将 0.0
2242 1 0.0 东东南南西西西西北北 有将 0.0
2243 0 0.0 东东南南西西西西北北北 无将 0.0
2243 1 0.0 东东南南西西西西北北北 有将 0.0
1220 0 0.004524886877828054 东南南西西 无将 0.004524886877828054
1220 1 0.0196078431372549 东南南西西 有将 0.0196078431372549
2244 0 0.0 东东南南西西西西北北北北 无将 0.0
2244 1 0.0 东东南南西西西西北北北北 有将 0.0
1221 0 0.0 东南南西西北 无将 0.0
1222 0 0.0053475935828877 东南南西西北北 无将 0.0053475935828877
3203 0 0.0392156862745098 东东东南南北北北 无将 0.0392156862745098
1222 1 0.0213903743315508 东南南西西北北 有将 0.0213903743315508
3203 1 1.0 东东东南南北北北 有将 1.0
1221 1 0.01680672268907563 东南南西西北 有将 0.01680672268907563
1223 0 0.007352941176470588 东南南西西北北北 无将 0.007352941176470588
